CodeYear,Country,Code,Year,Population,GDPperCapita,MentalDisorderPrevalancePerc,EatingDisordersPrevalancePerc
ITA-2019,Italy,ITA,2019,59727936,41426.94291,15.03,0.59
JAM-2019,Jamaica,JAM,2019,2813776,8945.276846,14.02,0.2
JPN-2019,Japan,JPN,2019,125791680,39636.89161,10.58,0.42
JOR-2019,Jordan,JOR,2019,10698682,10194.8147,15.04,0.21
KAZ-2019,Kazakhstan,KAZ,2019,18754260,28757.45084,10.61,0.17
KEN-2019,Kenya,KEN,2019,50951452,4137.587956,12.34,0.11
KWT-2019,Kuwait,KWT,2019,4441105,55942.79561,14.05,0.37
KGZ-2019,Kyrgyzstan,KGZ,2019,6323643,5015.446061,11.26,0.1
LAO-2019,Laos,LAO,2019,7212058,7359.113354,12.04,0.1
LVA-2019,Latvia,LVA,2019,1916552,31423.21545,12.62,0.18
LBN-2019,Lebanon,LBN,2019,5781912,14625.11198,16.44,0.24
LSO-2019,Lesotho,LSO,2019,2225710,2597.903057,13.31,0.11
LBR-2019,Liberia,LBR,2019,4985290,1227.80388,12.49,0.08
LTU-2019,Lithuania,LTU,2019,2849083,37497.88921,13.25,0.19
LUX-2019,Luxembourg,LUX,2019,619981,112941.4533,14.91,0.63
MDG-2019,Madagascar,MDG,2019,27533134,1497.184315,13.04,0.09
MWI-2019,Malawi,MWI,2019,18867340,1093.062919,12.5,0.08
MYS-2019,Malaysia,MYS,2019,32804024,27941.69737,12.23,0.16
MDV-2019,Maldives,MDV,2019,504518,19138.38514,11.07,0.13
MLI-2019,Mali,MLI,2019,20567430,2411.158121,10.57,0.09
MLT-2019,Malta,MLT,2019,503646,50759.08302,15.72,0.46
MRT-2019,Mauritania,MRT,2019,4383853,4283.262539,10.58,0.12
MUS-2019,Mauritius,MUS,2019,1296284,23199.73023,11.86,0.14
MEX-2019,Mexico,MEX,2019,125085312,19308.07396,12.26,0.26
MDA-2019,Moldova,MDA,2019,3109496,8685.856726,12.8,0.12
MNG-2019,Mongolia,MNG,2019,3232435,12832.9704,11.27,0.14
MNE-2019,Montenegro,MNE,2019,630403,20554.23128,11.63,0.17
MAR-2019,Morocco,MAR,2019,36304408,7724.827523,15.75,0.2
MOZ-2019,Mozambique,MOZ,2019,30285602,1169.86453,13.37,0.09
MMR-2019,Myanmar,MMR,2019,53040212,4819.9005,10.89,0.1
NAM-2019,Namibia,NAM,2019,2446648,10100.48815,11.09,0.17
NPL-2019,Nepal,NPL,2019,28832500,3103.988589,13.83,0.11
NLD-2019,Netherlands,NLD,2019,17363260,56051.19836,16.6,0.42
NZL-2019,New Zealand,NZL,2019,4959033,41935.31099,19.04,0.67
NIC-2019,Nicaragua,NIC,2019,6663919,5100.650249,13.27,0.18
NER-2019,Niger,NER,2019,23443400,1175.393952,11.63,0.08
NGA-2019,Nigeria,NGA,2019,203304496,4893.912405,10.72,0.13
MKD-2019,North Macedonia,MKD,2019,2114175,16149.42274,11.34,0.15
NOR-2019,Norway,NOR,2019,5348285,62544.03236,15.98,0.51
OMN-2019,Oman,OMN,2019,4602769,29506.57487,13.73,0.28
PAK-2019,Pakistan,PAK,2019,223293280,4787.469594,13.08,0.13
PSE-2019,Palestine,PSE,2019,4909775,6102.030222,18.14,0.17
PAN-2019,Panama,PAN,2019,4232538,29586.34318,12.18,0.3
PRY-2019,Paraguay,PRY,2019,6530029,12135.09958,15.84,0.23
PER-2019,Peru,PER,2019,32824864,12412.81823,13.82,0.31
PHL-2019,Philippines,PHL,2019,110380800,8204.645512,11.94,0.11
POL-2019,Poland,POL,2019,38493600,33248.03272,10.6,0.2
PRT-2019,Portugal,PRT,2019,10289921,34264.51863,18.45,0.46
QAT-2019,Qatar,QAT,2019,2807242,103445.1273,13.63,0.37
ROU-2019,Romania,ROU,2019,19524212,28828.93538,11.1,0.17
RUS-2019,Russia,RUS,2019,145742288,28773.27475,11.32,0.17
