CodeYear,Year,Country,Code,Population,SuicideRate,QualityLifeIndex,PurchasingPowerIndex,SafetyIndex,HealthCareIndex,CostOfLivingIndex,GDPperCapita,GrossNetIncome,MentalDisorderPrevalancePerc,EatingDisordersPrevalancePerc,HealthExpenditurePerCapita
MYS-2019,2019,Malaysia,MYS,32804024,5.699999809,122.11,73.14,39.21,67.61,39.38,27941.69737,11260,12.23,0.16,1132.99
MDV-2019,2019,Maldives,MDV,504518,2.700000048,,,,,,19138.38514,9640,11.07,0.13,1639.8
MLI-2019,2019,Mali,MLI,20567430,4.099999905,,,,,,2411.158121,860,10.57,0.09,94.55
MLT-2019,2019,Malta,MLT,503646,6.099999905,,,,,,50759.08302,29330,15.72,0.46,4039.61
MRT-2019,2019,Mauritania,MRT,4383853,3.099999905,,,,,,4283.262539,1720,10.58,0.12,187.05
MUS-2019,2019,Mauritius,MUS,1296284,9.5,,,,,,23199.73023,12840,11.86,0.14,1475.96
MEX-2019,2019,Mexico,MEX,125085312,5.300000191,123.48,49.98,47.7,69.72,32.71,19308.07396,9470,12.26,0.26,1110.94
MDA-2019,2019,Moldova,MDA,3109496,14.69999981,,,,,,8685.856726,4580,12.8,0.12,860.19
MNG-2019,2019,Mongolia,MNG,3232435,17.89999962,,,,,,12832.9704,3850,11.27,0.14,484.39
MNE-2019,2019,Montenegro,MNE,630403,21,,,,,,20554.23128,9140,11.63,0.17,1983.61
MAR-2019,2019,Morocco,MAR,36304408,7.199999809,,,,,,7724.827523,3200,15.75,0.2,424.5
MOZ-2019,2019,Mozambique,MOZ,30285602,13.60000038,,,,,,1169.86453,490,13.37,0.09,104.82
MMR-2019,2019,Myanmar,MMR,53040212,2.900000095,,,,,,4819.9005,1270,10.89,0.1,226.83
NAM-2019,2019,Namibia,NAM,2446648,9.699999809,,,,,,10100.48815,5170,11.09,0.17,867.35
NPL-2019,2019,Nepal,NPL,28832500,9,,,,,,3103.988589,1230,13.83,0.11,176.96
NLD-2019,2019,Netherlands,NLD,17363260,11.80000019,188.91,102.54,71.43,77.81,74.83,56051.19836,53230,16.6,0.42,6248.15
NZL-2019,2019,New Zealand,NZL,4959033,11,185.58,101.09,60.45,73.62,72.62,41935.31099,43050,19.04,0.67,4439.35
NIC-2019,2019,Nicaragua,NIC,6663919,4.400000095,,,,,,5100.650249,1890,13.27,0.18,474.52
NER-2019,2019,Niger,NER,23443400,5.300000191,,,,,,1175.393952,590,11.63,0.08,72.48
NGA-2019,2019,Nigeria,NGA,203304496,3.5,,,,,,4893.912405,2030,10.72,0.13,162.31
MKD-2019,2019,North Macedonia,MKD,2114175,9.399999619,110.64,39.83,60.71,58.98,31.58,16149.42274,5890,11.34,0.15,1313.56
NOR-2019,2019,Norway,NOR,5348285,11.80000019,181.86,103.61,64.68,74.14,100.99,62544.03236,81670,15.98,0.51,7217.39
OMN-2019,2019,Oman,OMN,4602769,4.900000095,,,,,,29506.57487,16430,13.73,0.28,1160.78
PAK-2019,2019,Pakistan,PAK,223293280,8.899999619,,,,,,4787.469594,1620,13.08,0.13,165.55
PSE-2019,2019,Palestine,PSE,4909775,,104.63,38.61,53.27,60.58,20.4,6102.030222,,18.14,0.17,
PAN-2019,2019,Panama,PAN,4232538,2.900000095,113.12,41.34,53.57,61.41,51.45,29586.34318,14920,12.18,0.3,2490.95
PRY-2019,2019,Paraguay,PRY,6530029,6,,,,,,12135.09958,5510,15.84,0.23,950.14
PER-2019,2019,Peru,PER,32824864,2.799999952,,,,,,12412.81823,6840,13.82,0.31,711.63
PHL-2019,2019,Philippines,PHL,110380800,2.200000048,90.73,29.46,59.17,65.87,35.09,8204.645512,3850,11.94,0.11,379.24
POL-2019,2019,Poland,POL,38493600,11.30000019,147.98,70,69.91,62.15,39.13,33248.03272,15360,10.6,0.2,2206.54
PRT-2019,2019,Portugal,PRT,10289921,11.5,163.5,55.19,67.87,70.72,50.39,34264.51863,23200,18.45,0.46,3517.72
QAT-2019,2019,Qatar,QAT,2807242,5.800000191,167.84,138.29,86.74,72.41,59.09,103445.1273,61180,13.63,0.37,2736.82
