YearCode,Entity,Code,Year,GNI,EatingDisorderPrevalancePercent,DepressionPrevalancePerc,DeathsBySuicide,LifeSatisfactionRate,DeathsHeartDisease,HealthCareExpenditure
YEM-2017,Yemen,YEM,2017,1080,0.14,5.02,0.82,4.196912766,29.71,
YEM-2018,Yemen,YEM,2018,910,0.13,5.03,0.8,,28.36,
YEM-2019,Yemen,YEM,2019,820,0.13,5.04,0.89,3.657900095,31.93,
ZMB-2015,Zambia,ZMB,2015,1580,0.11,4.27,1,3.932777405,12.74,152.14
ZMB-2016,Zambia,ZMB,2016,1370,0.11,4.28,1.04,4.041488171,13.42,152.43
ZMB-2017,Zambia,ZMB,2017,1300,0.12,4.29,1.07,3.306796551,13.75,152.54
ZMB-2018,Zambia,ZMB,2018,1440,0.12,4.3,1.11,4.837992191,14.25,181.55
ZMB-2019,Zambia,ZMB,2019,1430,0.12,4.3,1.13,4.073400021,14.71,192.52
ZWE-2015,Zimbabwe,ZWE,2015,1390,0.1,3.55,1.68,3.63830018,12.51,199.68
ZWE-2016,Zimbabwe,ZWE,2016,1390,0.1,3.56,1.75,3.616479874,12.91,215.4
ZWE-2017,Zimbabwe,ZWE,2017,1350,0.1,3.56,1.8,2.693523169,13.29,226.21
ZWE-2018,Zimbabwe,ZWE,2018,1350,0.1,3.56,1.87,3.159802198,13.79,269.2
ZWE-2019,Zimbabwe,ZWE,2019,1210,0.1,3.55,1.89,3.144799948,14.06,208.41
